Name Circuit;Amount of turns;Amount of DRS zones;Average temperature;Length circuit [km];Minimal width circuit [m];Average velocity [km/h];Best time [min];Best team 2021
Sakhir (Bahrain);15;3;22,6;5,412;14;213,05;91,447;RB
Imola (Italy);19;1;13,3;4,909;9;234,12;75,484;M
Portimao (Portugal);15;2;15,4;4,653;18;212,71;78,75;M
Barcelona (Spain);16;2;17;4,675;11;215,36;78,149;M
Monte Carlo (Monaco);19;1;13,7;3,337;9;164,77;72,909;F
Baku (Azerbaijan);20;2;23,4;6,003;7,6;209,8;93,009;F
Le Castellet (France);15;2;20,5;5,842;10;226,78;92,74;RB
Spielberg (Austria);10;3;20;4,318;11,5;236,89;65,619;RB
Silverstone (UK);18;2;16,9;5,891;14,5;243,49;87,097;M
Budapest (Hungary);14;1;22,1;4,381;10;205,82;76,627;M
Spa (Belgium);18;2;16,6;7,004;10;237,23;106,286;RB
Zandvoort (The Netherlands);14;2;15,8;4,259;9;215,65;71,097;RB
Monza (Italy);11;2;18;5,793;10;257,32;81,046;M
Sochi (Russia);18;2;20,3;5,848;13;219,85;95,761;MC
Istanbul Park (Turkey);14;2;16,4;5,338;13,5;226,69;84,77;M
Austin (USA);20;2;21,4;5,513;12,5;206,37;96,169;RB
Mexico City (Mexico);17;2;15,1;4,304;11,5;199,223;77,774;M
São Paulo (Brazil);15;2;20,1;4,309;10;218,453;70,54;M
Losail (Qatar);16;1;24,7;5,38;11,5;232,799;83,196;M
Jeddah (Saoedi-Arabia);27;3;24,7;6,174;12;244,962;90,734;M
Yas Island (Abu Dhabi);16;2;21,5;5,281;12;220,8;86,103;RB
